epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3461.26,0.87874,0.46193,0.99862,0.98517,0.9666,0.99316,0.79993,0.81611,0.3455,0.97227,0.0003368,0.0003368,0.0003368
86,3495.54,0.876,0.46387,1.01144,0.97814,0.98075,0.99336,0.80108,0.81507,0.34405,0.96977,0.000317,0.000317,0.000317
87,3528.48,0.8746,0.46092,1.011,0.98489,0.98225,0.99372,0.79938,0.82035,0.3361,0.97025,0.0002972,0.0002972,0.0002972
88,3561.52,0.86818,0.45601,1.00838,0.98684,0.9739,0.9937,0.80105,0.81345,0.33649,0.96815,0.0002774,0.0002774,0.0002774
89,3595.64,0.87595,0.45954,0.99581,0.98898,0.96973,0.99328,0.80257,0.80635,0.33035,0.96619,0.0002576,0.0002576,0.0002576
90,3627.46,0.87123,0.45823,1.00262,0.97021,0.98225,0.99347,0.80393,0.80694,0.33408,0.96544,0.0002378,0.0002378,0.0002378
91,3663.99,0.81366,0.40022,1.01251,0.98632,0.97869,0.9936,0.80248,0.80897,0.33359,0.96639,0.000218,0.000218,0.000218
92,3705.95,0.80114,0.39374,0.99879,0.97509,0.98083,0.99326,0.80188,0.80556,0.33451,0.96535,0.0001982,0.0001982,0.0001982
93,3821.6,0.79953,0.39246,1.00167,0.98396,0.98017,0.99361,0.80319,0.80743,0.33265,0.96598,0.0001784,0.0001784,0.0001784
94,3877.71,0.7913,0.3867,0.99257,0.98938,0.9728,0.99354,0.80344,0.80657,0.33303,0.96687,0.0001586,0.0001586,0.0001586
95,3914.76,0.79132,0.3819,0.99491,0.9837,0.97704,0.99352,0.80568,0.80866,0.33125,0.96594,0.0001388,0.0001388,0.0001388
96,3949.35,0.78386,0.3822,0.983,0.98052,0.97704,0.99345,0.80645,0.80413,0.3306,0.96472,0.000119,0.000119,0.000119
97,3985.55,0.78336,0.37902,0.9901,0.9785,0.97704,0.99345,0.80509,0.80741,0.33073,0.96838,9.92e-05,9.92e-05,9.92e-05
98,4024.38,0.78828,0.37836,0.99538,0.98106,0.97328,0.99325,0.80283,0.80504,0.33112,0.96637,7.94e-05,7.94e-05,7.94e-05
99,4054.38,0.78451,0.37881,0.98565,0.98306,0.96918,0.99329,0.807,0.80243,0.32966,0.96543,5.96e-05,5.96e-05,5.96e-05
100,4084.71,0.78221,0.37703,0.98593,0.98075,0.9739,0.99333,0.80592,0.80225,0.32996,0.96587,3.98e-05,3.98e-05,3.98e-05
