epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2198.77,0.83849,0.43896,0.9898,0.98834,0.97317,0.9935,0.79983,0.81219,0.33263,0.97168,0.000317,0.000317,0.000317
87,2224.46,0.8302,0.4333,0.97932,0.99149,0.97345,0.99362,0.79931,0.81157,0.33298,0.96933,0.0002972,0.0002972,0.0002972
88,2250.24,0.82361,0.42923,0.98256,0.9811,0.97533,0.99328,0.80305,0.80864,0.32913,0.96746,0.0002774,0.0002774,0.0002774
89,2275.6,0.82826,0.42828,0.98233,0.9802,0.98204,0.99344,0.80288,0.80492,0.32702,0.96556,0.0002576,0.0002576,0.0002576
90,2303.62,0.8248,0.42604,0.98349,0.97734,0.98121,0.99324,0.80369,0.80702,0.32554,0.96705,0.0002378,0.0002378,0.0002378
91,2329.88,0.76847,0.36959,0.96777,0.9842,0.97504,0.99325,0.80178,0.80249,0.32931,0.96539,0.000218,0.000218,0.000218
92,2355.97,0.76758,0.36456,0.96403,0.98857,0.97286,0.99324,0.80468,0.80975,0.32726,0.96766,0.0001982,0.0001982,0.0001982
93,2382.71,0.75782,0.35897,0.96898,0.98936,0.97075,0.99365,0.804,0.80735,0.3214,0.96875,0.0001784,0.0001784,0.0001784
94,2408.15,0.75015,0.3542,0.95694,0.98709,0.97182,0.9933,0.80119,0.80941,0.32806,0.96924,0.0001586,0.0001586,0.0001586
95,2433.63,0.74723,0.35466,0.95642,0.9808,0.98225,0.99357,0.80393,0.8048,0.32471,0.96644,0.0001388,0.0001388,0.0001388
96,2459.69,0.74371,0.35096,0.95615,0.97932,0.98225,0.99353,0.80523,0.80717,0.32641,0.96764,0.000119,0.000119,0.000119
97,2485.26,0.74284,0.34895,0.95178,0.97784,0.98121,0.99326,0.80526,0.80503,0.32518,0.96785,9.92e-05,9.92e-05,9.92e-05
98,2511.27,0.74282,0.34921,0.96042,0.97791,0.9833,0.9933,0.80612,0.8007,0.32185,0.96473,7.94e-05,7.94e-05,7.94e-05
99,2536.45,0.73954,0.35009,0.9557,0.97963,0.98121,0.99348,0.80671,0.80098,0.32087,0.96377,5.96e-05,5.96e-05,5.96e-05
100,2562,0.73788,0.35052,0.96094,0.9802,0.98172,0.99353,0.80646,0.80078,0.32178,0.96458,3.98e-05,3.98e-05,3.98e-05
